sample	group	group2	treatment	timepoint_days	age	sex	animal_id	collection_date	species	specimen_source	specimen_type	specimen_fraction	isolation_method	filename
97	E18DYM45	E18DY	E18DYM	ecoli	18	young	Male	45	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_45_me_t2
98	E18DOF181	E18DO	E18DOF	ecoli	18	old	Female	181	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_181_fe_t2
99	E18DOF182	E18DO	E18DOF	ecoli	18	old	Female	182	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_182_fe_t2
100	E18DOF184	E18DO	E18DOF	ecoli	18	old	Female	184	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_184_fe_t2
101	E18DOF185	E18DO	E18DOF	ecoli	18	old	Female	185	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_185_fe_t2
102	E18DOF186	E18DO	E18DOF	ecoli	18	old	Female	186	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_186_fe_t2
103	E18DOF188	E18DO	E18DOF	ecoli	18	old	Female	188	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_188_fe_t2
104	E18DOF189	E18DO	E18DOF	ecoli	18	old	Female	189	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_189_fe_t2
105	E18DOM131	E18DO	E18DOM	ecoli	18	old	Male	131	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_131_me_t2
106	E18DOM132	E18DO	E18DOM	ecoli	18	old	Male	132	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_132_me_t2
107	E18DOM135	E18DO	E18DOM	ecoli	18	old	Male	135	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_135_me_t2
108	E18DOM136	E18DO	E18DOM	ecoli	18	old	Male	136	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_136_me_t2
109	E18DOM137	E18DO	E18DOM	ecoli	18	old	Male	137	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_137_me_t2
110	E18DOM140	E18DO	E18DOM	ecoli	18	old	Male	140	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_140_me_t2
111	E18DOM141	E18DO	E18DOM	ecoli	18	old	Male	141	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_141_me_t2
